ID,ID_Measure,MeasureDate,ID_Item,BallsName,MillName,Gross,Tare,Net,Operator,Field1
8881,1,1/2/2017,13,ф 90 stomana,1,2260,0,2260,Петко,
8882,2,1/2/2017,23,ф 90 stomana,2,3190,0,3190,Петко,
8883,3,1/2/2017,43,ф 90 stomana,4,3020,0,3020,Петко,
8884,4,1/2/2017,73,ф 90 stomana,7,3160,0,3160,Петко,
8885,5,1/2/2017,83,ф 90 stomana,8,3260,0,3260,Петко,
8886,6,1/2/2017,32,ф 90 cheshki,3,2980,0,2980,Петко,
8887,,1/2/2017,62,ф 90 cheshki,6,3080,0,3080,Петко,
8888,,1/2/2017,51,ф 90 polski,5,3030,0,3030,Петко,
8889,,1/2/2017,91,ф 90 polski,9,3000,0,3000,Петко,
8890,,1/2/2017,101,ф 90 polski,10,3060,0,3060,Петко,
8891,,1/2/2017,111,ф 90 polski,11,2010,0,2010,Петко,
8892,1,1/3/2017,43,ф 90 stomana,4,3360,0,3360,Светлин,
8893,2,1/3/2017,16,ф 80 stomana,1,3020,0,3020,Светлин,
8894,3,1/3/2017,26,ф 80 stomana,2,3180,0,3180,Светлин,
8895,4,1/3/2017,76,ф 80 stomana,7,3080,0,3080,Светлин,
8896,5,1/3/2017,86,ф 80 stomana,8,3000,0,3000,Светлин,
8897,6,1/3/2017,35,ф 80 cheshki,3,3050,0,3050,Светлин,
8898,7,1/3/2017,65,ф 80 cheshki,6,2990,0,2990,Светлин,
8899,8,1/3/2017,54,ф 80 polski,5,3100,0,3100,Светлин,
8900,9,1/3/2017,94,ф 80 polski,9,3100,0,3100,Светлин,
8901,10,1/3/2017,104,ф 80 polski,10,2060,0,2060,Светлин,
8902,11,1/3/2017,114,ф 80 polski,11,2060,0,2060,Светлин,
8903,1,1/4/2017,13,ф 90 stomana,1,2940,0,2940,Александър,
8904,2,1/4/2017,23,ф 90 stomana,2,3200,0,3200,Александър,
8905,3,1/4/2017,43,ф 90 stomana,4,3050,0,3050,Александър,
8906,4,1/4/2017,73,ф 90 stomana,7,2070,0,2070,Александър,
8907,5,1/4/2017,83,ф 90 stomana,8,2980,0,2980,Александър,
8908,1,1/4/2017,32,ф 90 cheshki,3,2980,0,2980,Александър,
8909,2,1/4/2017,62,ф 90 cheshki,6,3120,0,3120,Александър,
8910,3,1/4/2017,91,ф 90 polski,9,2090,0,2090,Александър,
8911,4,1/4/2017,51,ф 90 polski,5,3080,0,3080,Александър,
8912,5,1/4/2017,101,ф 90 polski,10,3060,0,3060,Александър,
8913,1,1/5/2017,13,ф 90 stomana,1,3250,0,3250,Стойчо,
8914,2,1/5/2017,23,ф 90 stomana,2,3040,0,3040,Стойчо,
8915,1,1/5/2017,73,ф 90 stomana,7,3000,0,3000,Стойчо,
8916,2,1/5/2017,62,ф 90 cheshki,6,3010,0,3010,Стойчо,
8917,3,1/5/2017,51,ф 90 polski,5,3080,0,3080,Стойчо,
8918,4,1/5/2017,101,ф 90 polski,10,3060,0,3060,Стойчо,
8919,1,1/5/2017,43,ф 90 stomana,4,4980,0,4980,Стойчо,
8920,1,1/5/2017,83,ф 90 stomana,8,2870,0,2870,Стойчо,
8921,1,1/5/2017,32,ф 90 cheshki,3,2120,0,2120,Иван,
8922,2,1/5/2017,43,ф 90 stomana,4,5140,0,5140,Иван,
8923,1,1/6/2017,3,ф 30 ukraina,22,3020,0,3020,Георги,
8924,6,1/6/2017,35,ф 80 cheshki,3,3030,0,3030,Валентин,
8925,6,1/6/2017,65,ф 80 cheshki,6,3030,0,3030,Валентин,
8926,8,1/6/2017,54,ф 80 polski,5,3100,0,3100,Валентин,
8927,6,1/6/2017,104,ф 80 polski,10,3110,0,3110,Валентин,
8928,5,1/6/2017,114,ф 80 polski,11,3110,0,3110,Валентин,
8929,7,1/6/2017,16,ф 80 stomana,1,3110,0,3110,Валентин,
8930,3,1/6/2017,26,ф 80 stomana,2,3100,0,3100,Валентин,
8931,4,1/6/2017,76,ф 80 stomana,7,3120,0,3120,Валентин,
8932,5,1/6/2017,86,ф 80 stomana,8,3110,0,3110,Валентин,
8933,3,1/6/2017,43,ф 90 stomana,4,3270,0,3270,Валентин,
8934,1,1/7/2017,13,ф 90 stomana,1,3170,0,3170,красимир,
8935,2,1/7/2017,23,ф 90 stomana,2,3000,0,3000,красимир,
8936,3,1/7/2017,43,ф 90 stomana,4,3100,0,3100,красимир,
8937,1,1/7/2017,73,ф 90 stomana,7,3100,0,3100,красимир,
8938,2,1/7/2017,83,ф 90 stomana,8,3160,0,3160,красимир,
8939,3,1/7/2017,32,ф 90 cheshki,3,2120,0,2120,красимир,
8940,4,1/7/2017,62,ф 90 cheshki,6,2120,0,2120,красимир,
8941,1,1/7/2017,91,ф 90 polski,5,3070,0,3070,красимир,
8942,2,1/7/2017,101,ф 90 polski,10,3090,0,3090,красимир,
8943,1,1/8/2017,13,ф 90 stomana,1,3020,0,3020,Христо,
8944,2,1/8/2017,23,ф 90 stomana,2,3000,0,3000,Христо,
8945,3,1/8/2017,43,ф 90 stomana,4,3010,0,3010,Христо,
8946,4,1/8/2017,73,ф 90 stomana,7,3020,0,3020,Христо,
8947,5,1/8/2017,83,ф 90 stomana,8,3040,0,3040,Христо,
8948,6,1/8/2017,32,ф 90 cheshki,3,3210,0,3210,Христо,
8949,7,1/8/2017,62,ф 90 cheshki,6,2080,0,2080,Христо,
8950,8,1/8/2017,51,ф 90 polski,5,3100,0,3100,Христо,
8951,9,1/8/2017,101,ф 90 polski,10,3090,0,3090,Христо,
8952,1,1/9/2017,3,ф 30 ukraina,22,3010,0,3010,Мишо,
8953,1,1/9/2017,43,ф 90 stomana,4,3210,0,3210,Цветомир,
8954,2,1/9/2017,16,ф 80 stomana,1,3020,0,3020,Цветомир,
8955,3,1/9/2017,26,ф 80 stomana,2,3040,0,3040,Цветомир,
8956,4,1/9/2017,76,ф 80 stomana,7,3100,0,3100,Цветомир,
8957,5,1/9/2017,86,ф 80 stomana,8,3040,0,3040,Цветомир,
8958,6,1/9/2017,65,ф 80 cheshki,6,2970,0,2970,Цветомир,
8959,7,1/9/2017,35,ф 80 cheshki,3,2970,0,2970,Цветомир,
8960,1,1/9/2017,54,ф 80 polski,5,3110,0,3110,Цветомир,
8961,2,1/9/2017,114,ф 80 polski,11,3120,0,3120,Цветомир,
8962,3,1/9/2017,104,ф 80 polski,10,3110,0,3110,Цветомир,
8963,1,1/10/2017,101,ф 90 polski,10,3080,0,3080,Димитър,
8964,2,1/10/2017,51,ф 90 polski,5,3070,0,3070,Димитър,
8965,3,1/10/2017,13,ф 90 stomana,1,3240,0,3240,Димитър,
8966,4,1/10/2017,23,ф 90 stomana,2,3250,0,3250,Димитър,
8967,1,1/10/2017,43,ф 90 stomana,4,3300,0,3300,Цветомир,
8968,1,1/10/2017,32,ф 90 cheshki,3,3190,0,3190,Михайлов,
8969,2,1/10/2017,62,ф 90 cheshki,6,3270,0,3270,Михайлов,
8970,3,1/10/2017,83,ф 90 stomana,8,2940,0,2940,Михайлов,
8971,4,1/10/2017,73,ф 90 stomana,7,3100,0,3100,Михайлов,
8972,1,1/11/2017,13,ф 90 stomana,1,3050,0,3050,Иван,
8973,2,1/11/2017,23,ф 90 stomana,2,3030,0,3030,Иван,
8974,3,1/11/2017,43,ф 90 stomana,4,3020,0,3020,Иван,
8975,4,1/11/2017,73,ф 90 stomana,7,3040,0,3040,Иван,
8976,5,1/11/2017,83,ф 90 stomana,8,3100,0,3100,Иван,
8977,1,1/12/2017,32,ф 90 cheshki,3,2160,0,2160,момчил,
8978,2,1/12/2017,62,ф 90 cheshki,6,2100,0,2100,момчил,
8979,1,1/12/2017,51,ф 90 polski,5,5150,0,5150,Иван,
8980,2,1/12/2017,13,ф 90 stomana,1,3230,0,3230,Иван,
8981,3,1/12/2017,23,ф 90 stomana,2,3140,0,3140,Иван,
8982,1,1/12/2017,43,ф 90 stomana,4,3160,0,3160,Иван,
8983,2,1/12/2017,32,ф 90 cheshki,3,3050,0,3050,Иван,
8985,1,1/12/2017,62,ф 90 cheshki,6,3380,0,3380,Михайлов,
8986,2,1/12/2017,73,ф 90 stomana,7,2940,0,2940,Михайлов,
8987,3,1/12/2017,83,ф 90 stomana,8,2850,0,2850,Михайлов,
8988,4,1/12/2017,101,ф 90 polski,10,5150,0,5150,Михайлов,
8989,2,1/13/2017,3,ф 30 ukraina,22,3010,0,3010,Христо,
8990,1,1/13/2017,1,ф 70 stomanaD,21,2070,0,2070,Христо,
