trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC,param_PumpRPM
0,-50.449493408203125,2025-09-05 11:49:20.806951,2025-09-05 11:49:20.810199,165.7715650287003,9.253187426345775,184.20446676093442,0.3958240735277112,1811.4705590631202,207.09413524559693,7.527750335512081,41.98857556886463,0.06730041815919423,533.2869624872337,884.981347767857
1,-50.831016540527344,2025-09-05 11:49:20.810199,2025-09-05 11:49:20.813294,187.27280809717047,10.129935614407126,203.31746295071633,0.4369656687497052,1712.7265476937625,176.2311908745463,28.926596293420317,16.539286597742876,0.14120348357391743,353.55461313190267,1034.5084577846874
2,-51.1698112487793,2025-09-05 11:49:20.813809,2025-09-05 11:49:20.815848,164.19845919523695,8.869373935452293,220.05228610345688,0.44099992133920474,1610.4424937766223,170.24414768143475,15.163975960287587,23.618726262413073,0.3382156725916925,386.7848046190202,1105.1138522238448
3,-51.1698112487793,2025-09-05 11:49:20.816849,2025-09-05 11:49:20.819361,171.31360447705632,16.372757852983977,223.20803805862397,0.375542463948109,1640.8596775387532,176.14625353262224,14.053989788939166,30.47344315084053,0.2719783405038839,465.15943517786036,1058.762836800085
4,-49.981868743896484,2025-09-05 11:49:20.819361,2025-09-05 11:49:20.822407,193.22641510903938,17.965323485208145,187.06410861438854,0.3084998789524827,1806.0348479943684,198.35071949590645,10.620429362379358,36.384402303251704,0.4106738760626297,455.4771547763327,1011.2156965032818
5,-50.898231506347656,2025-09-05 11:49:20.822407,2025-09-05 11:49:20.825413,186.7777732715751,13.87690287619353,174.31897968813078,0.43405887147328204,1555.446264589446,181.7579802887763,25.555671550688935,44.61947163671151,0.12136210589796045,359.83009438450694,806.7863845387578
6,-51.80712890625,2025-09-05 11:49:20.825931,2025-09-05 11:49:20.827437,179.9258798441806,10.853409107371078,200.70473532025926,0.30733602404782867,1573.6270473809911,172.293379757987,20.655434336619543,33.334495417459934,0.33294486309336674,338.8992267269519,807.2150795956487
7,-51.05088424682617,2025-09-05 11:49:20.827437,2025-09-05 11:49:20.829478,188.15940350847254,10.630662625352608,188.5945506932344,0.4210543657857585,1675.2331009544646,191.1167577965158,12.557691815787578,32.3112320203728,0.43420394306157284,556.1537261470619,814.4545630369928
8,-53.37460708618164,2025-09-05 11:49:20.829478,2025-09-05 11:49:20.833527,189.62911689953785,11.72285472010044,195.438387615723,0.45774400606604015,1564.5520469938028,222.95714036241517,24.91915929696733,49.16944658604357,0.29471196861697235,445.13310855483144,878.6274148503928
9,-50.010398864746094,2025-09-05 11:49:20.833527,2025-09-05 11:49:20.836072,175.6027833781806,7.374428231649426,186.24286172385905,0.4757204826968262,1804.328120405958,213.2914379266206,26.37351235453402,21.240338898909258,0.5234526620717779,517.0595365186437,1047.0498345064943
10,-49.981868743896484,2025-09-05 11:49:20.836582,2025-09-05 11:49:20.879508,195.72437229573976,18.417298518599182,169.31529991776094,0.28126924474746084,1857.5490832178036,195.80561076270288,4.02636911683985,52.49674179628286,0.4527894560313095,443.8441884885246,964.3953152782577
11,-49.981868743896484,2025-09-05 11:49:20.879508,2025-09-05 11:49:20.922420,195.57416747593314,18.232651621507753,169.75374035283653,0.28148007830607447,1851.531011997598,198.8053043948359,4.424406130594736,52.61794626453531,0.4489483766086021,442.2988656895362,960.0135805034502
12,-50.2872428894043,2025-09-05 11:49:20.923419,2025-09-05 11:49:20.967275,195.8867198824964,18.4711140694413,239.78732599624672,0.33728047175294046,1763.6705415300476,191.00938223854254,9.09293831323508,40.60770671934828,0.4304700332420567,488.0693445790598,968.2450159453302
13,-49.981868743896484,2025-09-05 11:49:20.968276,2025-09-05 11:49:21.010866,191.60937048290674,15.042927478846313,177.70914496685356,0.3446407435621185,1854.7908596900747,200.09251782318728,3.591662934343833,53.74594285032115,0.5346522443900434,406.41999715043767,1144.4008417011134
14,-50.14358139038086,2025-09-05 11:49:21.010866,2025-09-05 11:49:21.056638,182.8053851008886,16.379950150369385,169.52657570119206,0.2814981772558134,1758.2875736361834,215.17827347159928,10.01079546844818,38.47186259418801,0.40507936481410023,418.0006512483226,997.2487242410936
15,-49.981868743896484,2025-09-05 11:49:21.056638,2025-09-05 11:49:21.100197,192.25061177591584,16.70807261770561,180.51864564542666,0.3229202779078883,1800.600192909928,189.45823069246921,18.557657513438556,48.098597552498674,0.23770762320966593,495.961094356268,923.5652922265082
16,-50.14358139038086,2025-09-05 11:49:21.100699,2025-09-05 11:49:21.145035,183.6663917583931,13.660240240124605,192.15689049577193,0.5190800950396114,1749.9753356463439,200.92027859379957,6.562695717409667,27.051838312282065,0.38407280115472586,472.80051189664766,751.0173804349636
17,-50.088829040527344,2025-09-05 11:49:21.146038,2025-09-05 11:49:21.187913,192.39606753766157,17.727155363765508,217.17034958258103,0.3622408943703181,1858.8888151260876,228.946374889399,10.947668887320745,38.602183680166306,0.4925572645792724,428.2440330222205,1007.8141034900566
18,-50.08952713012695,2025-09-05 11:49:21.187913,2025-09-05 11:49:21.232632,177.97688447441755,14.846852155132572,209.35047790086665,0.30589561288964134,1819.6392431877823,185.27775570485593,6.2238092474014755,46.572936678676605,0.374243786848559,395.2707282177341,917.6890052164085
19,-50.44874954223633,2025-09-05 11:49:21.232632,2025-09-05 11:49:21.275377,195.68332125353876,17.021743277092288,178.19890735184688,0.30789540295063517,1718.0046661354156,207.0814913730207,16.97319365796315,54.815481153878395,0.20135529706118743,463.26655840741387,1104.3024985862735
20,-50.14358139038086,2025-09-05 11:49:21.275890,2025-09-05 11:49:21.317121,183.34543726192484,15.177287697415487,195.51234446415992,0.3666042043807873,1778.3774763407303,195.5029817446373,21.191554388691507,43.7496112134182,0.4774474233016845,513.5225283925218,991.3129008894397
