Id,Dosmilane,BG_Names
"ф 90  polski",0,"ф 90  полски"
"ф 40 ispanski",0,"ф 40 испански"
"ф 90 cheshki",0,"ф 90 чешки"
"ф 90 polski",0,"ф 90 полски"
"ф 70 stomana",0,"ф 70 стомана"
"ф 80 polski",0,"ф 80 полски"
"ф 80 cheshki",0,"ф 80 чешки"
"ф 80 stomana",0,"ф 80 стомана"
"ф 60 stomanaD",1,"ф 60 стоманаD"
"ф 60 stomana",0,"ф 60 стомана"
"ф80 polski",0,"ф80 полски"
"ф 80 ispanski",0,"ф 80 испански"
"ф 70 ispanski",0,"ф 70 испански"
"ф 60 ispanski",0,"ф 60 испански"
"ф 50 ispanski",0,"ф 50 испански"
"ф 70 stomanaD",1,"ф 70 стоманаD"
"ф 80 stomanaD",1,"ф 80 стоманаD"
"ф 30 ukraina",1,"ф 30 украина"
"ф 32 austria",1,"ф 32 австрия"
